Date,Amount,Account,Text
1/1,1.94,Snack Expense,holiday stations 3516 holiday stations 3516 
1/1,10.99,Subscription Expense,spotify spotify 877-778-1161 ny us
1/1,35.00,Subscription Expense,westside storage westside storage 
1/2,4.74,Snack Expense,holiday stations 3516 holiday stations 3516 
1/2,5.95,Grocery Expense,johnsons foods 5 east highway 61
1/3,4.42,Snack Expense,holiday stations 3516 holiday stations 3516 
1/3,93.08,Other Expense,amazon.com*tk3mu2540 amazon.com seattle wa us
1/4,4.96,Snack Expense,holiday stations 3516 holiday stations 3516 
1/4,72.21,[],philadelphia luthier tool philadelphia luthier to 121-588-0782 pa us
1/4,122.04,High School Revenue,payroll
